dataset	subject	onset	offset	word
ses-052_task-s05e23c	sub-01	0.25	0.366	Did
ses-052_task-s05e23c	sub-01	0.388	0.478	you
ses-052_task-s05e23c	sub-01	0.484	0.654	guys
ses-052_task-s05e23c	sub-01	0.692	0.8939999999999999	make
ses-052_task-s05e23c	sub-01	0.932	1.326	us?
ses-052_task-s05e23c	sub-01	1.428	2.078	No.
ses-052_task-s05e23c	sub-01	2.244	2.6220000000000003	But
ses-052_task-s05e23c	sub-01	2.676	2.942	she
ses-052_task-s05e23c	sub-01	2.996	3.214	just
ses-052_task-s05e23c	sub-01	3.252	3.502	came
ses-052_task-s05e23c	sub-01	3.556	3.726	up
ses-052_task-s05e23c	sub-01	3.748	4.2700000000000005	here.
ses-052_task-s05e23c	sub-01	4.42	4.638	That
ses-052_task-s05e23c	sub-01	4.644	5.2	was
ses-052_task-s05e23c	sub-01	7.33	7.658	"[""""it's"
ses-052_task-s05e23c	sub-01	7.674	7.854	so
ses-052_task-s05e23c	sub-01	7.892	8.282	weird.
ses-052_task-s05e23c	sub-01	8.346	8.574	Yeah
ses-052_task-s05e23c	sub-01	8.612	8.814	
ses-052_task-s05e23c	sub-01	8.852	9.098	"[""""she's"
ses-052_task-s05e23c	sub-01	9.114	9.294	probably
ses-052_task-s05e23c	sub-01	9.332	9.534	talking
ses-052_task-s05e23c	sub-01	9.572	9.725999999999999	to']
ses-052_task-s05e23c	sub-01	9.748	10.43	Richard.
ses-052_task-s05e23c	sub-01	11.01	11.374	Would
ses-052_task-s05e23c	sub-01	11.412	11.758000000000001	you
ses-052_task-s05e23c	sub-01	11.844	12.238	stop
ses-052_task-s05e23c	sub-01	12.324	13.054	that?
ses-052_task-s05e23c	sub-01	13.252	13.566	You
ses-052_task-s05e23c	sub-01	13.588	13.677999999999999	want
ses-052_task-s05e23c	sub-01	13.684	13.758	to
ses-052_task-s05e23c	sub-01	13.764	13.934	know
ses-052_task-s05e23c	sub-01	13.972	14.126	the
ses-052_task-s05e23c	sub-01	14.148	14.334	first
ses-052_task-s05e23c	sub-01	14.372	14.526	thing
ses-052_task-s05e23c	sub-01	14.548	14.734	she
ses-052_task-s05e23c	sub-01	14.772	14.974	said
ses-052_task-s05e23c	sub-01	15.012	15.166	when
ses-052_task-s05e23c	sub-01	15.188	15.326	she
ses-052_task-s05e23c	sub-01	15.348	15.486	came
ses-052_task-s05e23c	sub-01	15.508	15.693999999999999	back
ses-052_task-s05e23c	sub-01	15.732	15.838	from
ses-052_task-s05e23c	sub-01	15.844	15.966	her
ses-052_task-s05e23c	sub-01	15.988	16.233999999999998	lunch
ses-052_task-s05e23c	sub-01	16.282	16.446	['was
ses-052_task-s05e23c	sub-01	16.468	16.89	Richard.
ses-052_task-s05e23c	sub-01	16.97	17.166	She
ses-052_task-s05e23c	sub-01	17.188	17.337999999999997	didn't
ses-052_task-s05e23c	sub-01	17.354	17.582	feel']
ses-052_task-s05e23c	sub-01	17.636	17.997999999999998	anything
ses-052_task-s05e23c	sub-01	18.084	18.286	for
ses-052_task-s05e23c	sub-01	18.308	18.59	him.
ses-052_task-s05e23c	sub-01	18.66	18.894000000000002	She
ses-052_task-s05e23c	sub-01	18.932	19.226	loves
ses-052_task-s05e23c	sub-01	19.258	19.84	you.
ses-052_task-s05e23c	sub-01	21.09	21.79	Really?
ses-052_task-s05e23c	sub-01	21.94	22.64	Yes.
ses-052_task-s05e23c	sub-01	23.01	23.374000000000002	She
ses-052_task-s05e23c	sub-01	23.412	23.753999999999998	feels
ses-052_task-s05e23c	sub-01	23.802	24.522	terrible.
ses-052_task-s05e23c	sub-01	24.666	24.95	She
ses-052_task-s05e23c	sub-01	24.98	25.126	she
ses-052_task-s05e23c	sub-01	25.148	25.334	['really
ses-052_task-s05e23c	sub-01	25.372	25.526	wants
ses-052_task-s05e23c	sub-01	25.548	25.686	to
ses-052_task-s05e23c	sub-01	25.708	25.894	make
ses-052_task-s05e23c	sub-01	25.932	26.134	up.
ses-052_task-s05e23c	sub-01	26.172	26.578	You've
ses-052_task-s05e23c	sub-01	26.594	26.726000000000003	got']
ses-052_task-s05e23c	sub-01	26.748	26.886000000000003	to
ses-052_task-s05e23c	sub-01	26.908	27.142000000000003	find
ses-052_task-s05e23c	sub-01	27.196	27.8	her.
ses-052_task-s05e23c	sub-01	29.21	29.96	Okay.
ses-052_task-s05e23c	sub-01	30.89	37.43	Goodbye.
ses-052_task-s05e23c	sub-01	38.81	39.126000000000005	I
ses-052_task-s05e23c	sub-01	39.148	39.334	should
ses-052_task-s05e23c	sub-01	39.372	39.574	really
ses-052_task-s05e23c	sub-01	39.612	39.814	start
ses-052_task-s05e23c	sub-01	39.852	40.114	wearing
ses-052_task-s05e23c	sub-01	40.162	40.87	hats.
ses-052_task-s05e23c	sub-01	43.45	43.906000000000006	"[""""It's"
ses-052_task-s05e23c	sub-01	43.938	44.134	not']
ses-052_task-s05e23c	sub-01	44.172	44.785999999999994	unused
ses-052_task-s05e23c	sub-01	44.818	45.013999999999996	you
ses-052_task-s05e23c	sub-01	45.052	45.346	ought
ses-052_task-s05e23c	sub-01	45.378	45.526	to
ses-052_task-s05e23c	sub-01	45.548	45.782000000000004	be
ses-052_task-s05e23c	sub-01	45.836	46.274	loved
ses-052_task-s05e23c	sub-01	46.322	46.534000000000006	by
ses-052_task-s05e23c	sub-01	46.572	47.160000000000004	anyone
ses-052_task-s05e23c	sub-01	48.73	49.138	"[""""it's""""]"
ses-052_task-s05e23c	sub-01	49.154	49.334	not
ses-052_task-s05e23c	sub-01	49.372	49.978	unused
ses-052_task-s05e23c	sub-01	50.034	50.64	you
ses-052_task-s05e23c	sub-01	61.33	61.742	see
ses-052_task-s05e23c	sub-01	61.796	62.062	me
ses-052_task-s05e23c	sub-01	62.116	62.83	cry
ses-052_task-s05e23c	sub-01	87.53	87.894	welcome
ses-052_task-s05e23c	sub-01	87.932	88.134	to
ses-052_task-s05e23c	sub-01	88.172	88.338	Las
ses-052_task-s05e23c	sub-01	88.354	89.11	Vegas.
ses-052_task-s05e23c	sub-01	92.49	92.806	Yes,
ses-052_task-s05e23c	sub-01	92.828	92.96600000000001	I
ses-052_task-s05e23c	sub-01	92.988	93.222	did.
ses-052_task-s05e23c	sub-01	93.276	93.446	Thank
ses-052_task-s05e23c	sub-01	93.468	93.60600000000001	you
ses-052_task-s05e23c	sub-01	93.628	93.81400000000001	very
ses-052_task-s05e23c	sub-01	93.852	94.19800000000001	much.
ses-052_task-s05e23c	sub-01	94.284	95.19000000000001	Excellent.
ses-052_task-s05e23c	sub-01	96.73	97.058	Hope
ses-052_task-s05e23c	sub-01	97.084	97.226	you
ses-052_task-s05e23c	sub-01	97.248	97.33800000000001	had
ses-052_task-s05e23c	sub-01	97.344	97.41799999999999	a
ses-052_task-s05e23c	sub-01	97.424	97.59400000000001	nice
ses-052_task-s05e23c	sub-01	97.632	98.11800000000001	plate.
ses-052_task-s05e23c	sub-01	98.214	98.618	Oh,
ses-052_task-s05e23c	sub-01	98.704	98.90599999999999	it
ses-052_task-s05e23c	sub-01	98.928	99.16199999999999	was
ses-052_task-s05e23c	sub-01	99.216	99.386	the
