dataset	subject	onset	offset	word
ses-007_task-life05_run-1	sub-01	13.72	13.856	But
ses-007_task-life05_run-1	sub-01	13.856	14.048	there
ses-007_task-life05_run-1	sub-01	14.07	14.414	is
ses-007_task-life05_run-1	sub-01	14.502	14.942	another
ses-007_task-life05_run-1	sub-01	15.046	15.69	problem.
ses-007_task-life05_run-1	sub-01	16.03	16.366	The
ses-007_task-life05_run-1	sub-01	16.398	16.614	little
ses-007_task-life05_run-1	sub-01	16.662	17.134	pools
ses-007_task-life05_run-1	sub-01	17.182	17.581999999999997	contain
ses-007_task-life05_run-1	sub-01	17.646	17.894000000000002	no
ses-007_task-life05_run-1	sub-01	17.942	18.53	food,
ses-007_task-life05_run-1	sub-01	21.71	22.118000000000002	so
ses-007_task-life05_run-1	sub-01	22.174	22.534	she
ses-007_task-life05_run-1	sub-01	22.622	22.846	has
ses-007_task-life05_run-1	sub-01	22.878	23.046	to
ses-007_task-life05_run-1	sub-01	23.078	23.366	provide
ses-007_task-life05_run-1	sub-01	23.438	24.049999999999997	it.
ses-007_task-life05_run-1	sub-01	25.43	25.766	She
ses-007_task-life05_run-1	sub-01	25.798	26.125999999999998	lays
ses-007_task-life05_run-1	sub-01	26.198	26.406	an
ses-007_task-life05_run-1	sub-01	26.438	27.238	unfertilized
ses-007_task-life05_run-1	sub-01	27.294	27.526	egg
ses-007_task-life05_run-1	sub-01	27.558	27.701999999999998	in
ses-007_task-life05_run-1	sub-01	27.726	27.91	each
ses-007_task-life05_run-1	sub-01	27.95	28.509999999999998	pool
ses-007_task-life05_run-1	sub-01	28.63	28.862	for
ses-007_task-life05_run-1	sub-01	28.886	29.022	her
ses-007_task-life05_run-1	sub-01	29.046	29.694	tadpoles
ses-007_task-life05_run-1	sub-01	29.742	29.926000000000002	to
ses-007_task-life05_run-1	sub-01	29.958	30.529999999999998	eat,
ses-007_task-life05_run-1	sub-01	37.29	37.626	and
ses-007_task-life05_run-1	sub-01	37.658	38.230000000000004	then
ses-007_task-life05_run-1	sub-01	38.57	38.93	she
ses-007_task-life05_run-1	sub-01	38.97	39.79	leaves.
ses-007_task-life05_run-1	sub-01	45.89	46.346000000000004	['But
ses-007_task-life05_run-1	sub-01	46.418	46.722	one
ses-007_task-life05_run-1	sub-01	46.786	47.17	egg
ses-007_task-life05_run-1	sub-01	47.25	47.554	"won't""""]"
ses-007_task-life05_run-1	sub-01	47.602	48.074	sustain
ses-007_task-life05_run-1	sub-01	48.122	48.258	a
ses-007_task-life05_run-1	sub-01	48.274	48.57	growing
ses-007_task-life05_run-1	sub-01	48.61	49.122	tadpole
ses-007_task-life05_run-1	sub-01	49.146	49.33	for
ses-007_task-life05_run-1	sub-01	49.37	49.833999999999996	long,
ses-007_task-life05_run-1	sub-01	49.962	50.25	so
ses-007_task-life05_run-1	sub-01	50.29	50.466	she
ses-007_task-life05_run-1	sub-01	50.498	50.641999999999996	has
ses-007_task-life05_run-1	sub-01	50.666	50.849999999999994	to
ses-007_task-life05_run-1	sub-01	50.89	51.258	return
ses-007_task-life05_run-1	sub-01	51.354	51.61	every
ses-007_task-life05_run-1	sub-01	51.65	51.922	few
ses-007_task-life05_run-1	sub-01	51.986	52.449999999999996	days
ses-007_task-life05_run-1	sub-01	52.57	52.85	with
ses-007_task-life05_run-1	sub-01	52.89	53.21	another
ses-007_task-life05_run-1	sub-01	53.29	53.949999999999996	egg.
ses-007_task-life05_run-1	sub-01	61.13	61.466	Over
ses-007_task-life05_run-1	sub-01	61.498	61.666	the
ses-007_task-life05_run-1	sub-01	61.698	61.914	next
ses-007_task-life05_run-1	sub-01	61.962	62.218	two
ses-007_task-life05_run-1	sub-01	62.274	62.634	weeks,
ses-007_task-life05_run-1	sub-01	62.722	62.946	she
ses-007_task-life05_run-1	sub-01	62.978	63.17	can
ses-007_task-life05_run-1	sub-01	63.21	63.546	climb
ses-007_task-life05_run-1	sub-01	63.578	63.998000000000005	almost
ses-007_task-life05_run-1	sub-01	64.114	64.39	half
ses-007_task-life05_run-1	sub-01	64.43	64.60600000000001	a
ses-007_task-life05_run-1	sub-01	64.638	65.14200000000001	mile,
ses-007_task-life05_run-1	sub-01	65.246	65.71	tending
ses-007_task-life05_run-1	sub-01	65.75	65.902	her
ses-007_task-life05_run-1	sub-01	65.926	66.49	young,
ses-007_task-life05_run-1	sub-01	68.23	68.59	an
ses-007_task-life05_run-1	sub-01	68.63	69.25399999999999	astonishing
ses-007_task-life05_run-1	sub-01	69.302	69.742	feat
