dataset	subject	onset	offset	word
ses-011_task-figures03_run-2	sub-01	5.8	5.912	My
ses-011_task-figures03_run-2	sub-01	5.912	6.144	numbers
ses-011_task-figures03_run-2	sub-01	6.144	6.296	are
ses-011_task-figures03_run-2	sub-01	6.318	6.558	spot
ses-011_task-figures03_run-2	sub-01	6.614	7.21	on.
ses-011_task-figures03_run-2	sub-01	8.79	9.078	I
ses-011_task-figures03_run-2	sub-01	9.094	9.222	will
ses-011_task-figures03_run-2	sub-01	9.246	9.43	double
ses-011_task-figures03_run-2	sub-01	9.47	9.662	check
ses-011_task-figures03_run-2	sub-01	9.686	9.87	them,
ses-011_task-figures03_run-2	sub-01	9.91	10.134	sir.
ses-011_task-figures03_run-2	sub-01	10.182	10.366	No
ses-011_task-figures03_run-2	sub-01	10.398	10.969999999999999	problem.
ses-011_task-figures03_run-2	sub-01	20.79	21.118	"[""""I'm"
ses-011_task-figures03_run-2	sub-01	21.134	21.262	not
ses-011_task-figures03_run-2	sub-01	21.286	21.438000000000002	gonna
ses-011_task-figures03_run-2	sub-01	21.454	21.534	be...
ses-011_task-figures03_run-2	sub-01	21.75	21.878	Work
ses-011_task-figures03_run-2	sub-01	21.894	21.997999999999998	on
ses-011_task-figures03_run-2	sub-01	22.014	22.118	what
ses-011_task-figures03_run-2	sub-01	22.134	22.238	you']
ses-011_task-figures03_run-2	sub-01	22.254	22.406000000000002	can
ses-011_task-figures03_run-2	sub-01	22.438	22.894	read.
ses-011_task-figures03_run-2	sub-01	23.022	23.261999999999997	The
ses-011_task-figures03_run-2	sub-01	23.286	23.470000000000002	rest
ses-011_task-figures03_run-2	sub-01	23.51	23.71	is
ses-011_task-figures03_run-2	sub-01	23.75	24.222	['classified.
ses-011_task-figures03_run-2	sub-01	24.286	24.414	You
ses-011_task-figures03_run-2	sub-01	24.422	24.542	don't
ses-011_task-figures03_run-2	sub-01	24.566	24.677999999999997	have']
ses-011_task-figures03_run-2	sub-01	24.694	25.369999999999997	clearance.
ses-011_task-figures03_run-2	sub-01	45.16	45.751999999999995	Yes.
ses-011_task-figures03_run-2	sub-01	46.328	46.672000000000004	Excuse
ses-011_task-figures03_run-2	sub-01	46.696	47.144	me,
ses-011_task-figures03_run-2	sub-01	47.272	47.488	may
ses-011_task-figures03_run-2	sub-01	47.504	47.608	I
ses-011_task-figures03_run-2	sub-01	47.624	47.776	['ask
ses-011_task-figures03_run-2	sub-01	47.808	47.903999999999996	where
ses-011_task-figures03_run-2	sub-01	47.912	48.007999999999996	the
ses-011_task-figures03_run-2	sub-01	48.024	48.248	lady's
ses-011_task-figures03_run-2	sub-01	48.264	48.440000000000005	room
ses-011_task-figures03_run-2	sub-01	48.48	48.872	is?']
ses-011_task-figures03_run-2	sub-01	48.976	49.448	Sorry,
ses-011_task-figures03_run-2	sub-01	49.544	49.751999999999995	I
ses-011_task-figures03_run-2	sub-01	49.776	49.912000000000006	have
ses-011_task-figures03_run-2	sub-01	49.936	50.048	no
ses-011_task-figures03_run-2	sub-01	50.064	50.232	idea
ses-011_task-figures03_run-2	sub-01	50.256	50.368	where
ses-011_task-figures03_run-2	sub-01	50.384	50.536	your
ses-011_task-figures03_run-2	sub-01	50.568	50.896	bathroom
ses-011_task-figures03_run-2	sub-01	50.928	51.5	is.
ses-011_task-figures03_run-2	sub-01	52.36	52.736	Yes,
ses-011_task-figures03_run-2	sub-01	52.768	53.34	sir.
ses-011_task-figures03_run-2	sub-01	54.82	55.64	Yes.
ses-011_task-figures03_run-2	sub-01	86.35	87.038	Summertime
ses-011_task-figures03_run-2	sub-01	87.094	87.238	in
ses-011_task-figures03_run-2	sub-01	87.254	87.87	Virginia
ses-011_task-figures03_run-2	sub-01	87.95	88.142	was
ses-011_task-figures03_run-2	sub-01	88.166	88.27799999999999	the
ses-011_task-figures03_run-2	sub-01	88.294	88.85	oven.
ses-011_task-figures03_run-2	sub-01	89.87	90.182	All
ses-011_task-figures03_run-2	sub-01	90.206	90.342	the
ses-011_task-figures03_run-2	sub-01	90.366	90.574	kids
ses-011_task-figures03_run-2	sub-01	90.622	90.854	eating
ses-011_task-figures03_run-2	sub-01	90.902	91.126	ice
ses-011_task-figures03_run-2	sub-01	91.158	91.414	cream
ses-011_task-figures03_run-2	sub-01	91.462	91.622	with
ses-011_task-figures03_run-2	sub-01	91.646	91.782	their
ses-011_task-figures03_run-2	sub-01	91.806	92.49	cousins.
ses-011_task-figures03_run-2	sub-01	93.43	93.694	I
ses-011_task-figures03_run-2	sub-01	93.702	93.846	was
ses-011_task-figures03_run-2	sub-01	93.878	94.222	studying
ses-011_task-figures03_run-2	sub-01	94.246	94.38199999999999	while
ses-011_task-figures03_run-2	sub-01	94.406	94.542	you
ses-011_task-figures03_run-2	sub-01	94.566	94.702	was
ses-011_task-figures03_run-2	sub-01	94.726	95.006	playing
ses-011_task-figures03_run-2	sub-01	95.078	95.262	the
ses-011_task-figures03_run-2	sub-01	95.286	95.878	dozens.
ses-011_task-figures03_run-2	sub-01	96.014	96.822	Cousins.
ses-011_task-figures03_run-2	sub-01	96.966	97.35799999999999	"[""""Don't"
ses-011_task-figures03_run-2	sub-01	97.414	97.63	act
ses-011_task-figures03_run-2	sub-01	97.67	97.87	like
ses-011_task-figures03_run-2	sub-01	97.91	98.038	you
ses-011_task-figures03_run-2	sub-01	98.054	98.182	was']
ses-011_task-figures03_run-2	sub-01	98.206	98.414	['there
ses-011_task-figures03_run-2	sub-01	98.462	98.622	when
ses-011_task-figures03_run-2	sub-01	98.646	98.782	you
ses-011_task-figures03_run-2	sub-01	98.806	99.422	"wasn't""""]"
ses-011_task-figures03_run-2	sub-01	99.566	100.014	running
ses-011_task-figures03_run-2	sub-01	100.062	100.246	from
ses-011_task-figures03_run-2	sub-01	100.278	100.518	the
ses-011_task-figures03_run-2	sub-01	100.574	101.14999999999999	man
ses-011_task-figures03_run-2	sub-01	101.31	101.774	running
ses-011_task-figures03_run-2	sub-01	101.822	102.006	from
ses-011_task-figures03_run-2	sub-01	102.038	102.22999999999999	the
ses-011_task-figures03_run-2	sub-01	102.27	103.13	badge.
ses-011_task-figures03_run-2	sub-01	103.91	104.38199999999999	"[""""Don't"
ses-011_task-figures03_run-2	sub-01	104.446	104.67	act
ses-011_task-figures03_run-2	sub-01	104.71	104.886	like
ses-011_task-figures03_run-2	sub-01	104.918	105.03800000000001	you
ses-011_task-figures03_run-2	sub-01	105.054	105.182	was
ses-011_task-figures03_run-2	sub-01	105.206	105.414	there
ses-011_task-figures03_run-2	sub-01	105.462	105.622	when
ses-011_task-figures03_run-2	sub-01	105.646	105.782	you']
ses-011_task-figures03_run-2	sub-01	105.806	106.422	"[""""wasn't"
ses-011_task-figures03_run-2	sub-01	106.566	106.998	running.
ses-011_task-figures03_run-2	sub-01	107.054	107.246	What?']
ses-011_task-figures03_run-2	sub-01	107.278	107.52600000000001	"[""""I'm"
ses-011_task-figures03_run-2	sub-01	107.558	108.158	playing
ses-011_task-figures03_run-2	sub-01	108.334	108.598	in']
ses-011_task-figures03_run-2	sub-01	108.614	108.79	['the
ses-011_task-figures03_run-2	sub-01	108.83	109.286	cousin's
ses-011_task-figures03_run-2	sub-01	109.318	110.13	hands']
ses-011_task-figures03_run-2	sub-01	111.57	111.88199999999999	like
ses-011_task-figures03_run-2	sub-01	111.906	112.042	you
ses-011_task-figures03_run-2	sub-01	112.066	112.202	was
ses-011_task-figures03_run-2	sub-01	112.226	112.434	there
ses-011_task-figures03_run-2	sub-01	112.482	112.618	when
