dataset	subject	onset	offset	word
ses-041_task-s05e06b	sub-01	0.33	0.398	Kind
ses-041_task-s05e06b	sub-01	0.404	0.67	of
ses-041_task-s05e06b	sub-01	0.74	1.066	knocked
ses-041_task-s05e06b	sub-01	1.098	1.246	me
ses-041_task-s05e06b	sub-01	1.268	1.4060000000000001	out
ses-041_task-s05e06b	sub-01	1.428	1.518	a
ses-041_task-s05e06b	sub-01	1.524	2.08	little.
ses-041_task-s05e06b	sub-01	3.97	4.3340000000000005	I
ses-041_task-s05e06b	sub-01	4.372	4.622	love
ses-041_task-s05e06b	sub-01	4.676	4.942	this
ses-041_task-s05e06b	sub-01	4.996	5.646000000000001	place.
ses-041_task-s05e06b	sub-01	5.828	6.126	['Tell
ses-041_task-s05e06b	sub-01	6.148	6.286	you
ses-041_task-s05e06b	sub-01	6.308	6.398	the
ses-041_task-s05e06b	sub-01	6.404	6.586	truth
ses-041_task-s05e06b	sub-01	6.618	6.718	
ses-041_task-s05e06b	sub-01	6.724	6.906000000000001	I
ses-041_task-s05e06b	sub-01	6.938	7.037999999999999	wish
ses-041_task-s05e06b	sub-01	7.044	7.226	I
ses-041_task-s05e06b	sub-01	7.258	7.358	didn't
ses-041_task-s05e06b	sub-01	7.364	7.92	to.
ses-041_task-s05e06b	sub-01	8.93	9.581999999999999	Uh,
ses-041_task-s05e06b	sub-01	9.716	10.014	are
ses-041_task-s05e06b	sub-01	10.052	10.446	['you
ses-041_task-s05e06b	sub-01	10.548	10.814	saying
ses-041_task-s05e06b	sub-01	10.852	10.958	that
ses-041_task-s05e06b	sub-01	10.964	11.178	you're
ses-041_task-s05e06b	sub-01	11.194	11.374	not']
ses-041_task-s05e06b	sub-01	11.412	12.154	entirely
ses-041_task-s05e06b	sub-01	12.282	12.67	happy
ses-041_task-s05e06b	sub-01	12.74	12.974	about
ses-041_task-s05e06b	sub-01	13.012	13.6	this?
ses-041_task-s05e06b	sub-01	14.37	14.782	Well,
ses-041_task-s05e06b	sub-01	14.836	15.006	I
ses-041_task-s05e06b	sub-01	15.028	15.214	mean,
ses-041_task-s05e06b	sub-01	15.252	15.454	if,
ses-041_task-s05e06b	sub-01	15.492	15.754000000000001	uh
ses-041_task-s05e06b	sub-01	15.802	16.014	if
ses-041_task-s05e06b	sub-01	16.052	16.394	Emily
ses-041_task-s05e06b	sub-01	16.442	16.558	gave
ses-041_task-s05e06b	sub-01	16.564	16.686	me
ses-041_task-s05e06b	sub-01	16.708	16.798	a
ses-041_task-s05e06b	sub-01	16.804	17.13	choice.
ses-041_task-s05e06b	sub-01	17.21	17.406000000000002	You
ses-041_task-s05e06b	sub-01	17.428	17.614	do
ses-041_task-s05e06b	sub-01	17.652	17.806	have
ses-041_task-s05e06b	sub-01	17.828	17.966	a
ses-041_task-s05e06b	sub-01	17.988	18.59	choice,
ses-041_task-s05e06b	sub-01	19.49	20.041999999999998	Ross.
ses-041_task-s05e06b	sub-01	20.106	20.334000000000003	Why
ses-041_task-s05e06b	sub-01	20.372	20.526	are
ses-041_task-s05e06b	sub-01	20.548	20.686	you
ses-041_task-s05e06b	sub-01	20.708	21.066	listening
ses-041_task-s05e06b	sub-01	21.098	21.294	to
ses-041_task-s05e06b	sub-01	21.332	21.726	her?
ses-041_task-s05e06b	sub-01	21.828	22.046	Are
ses-041_task-s05e06b	sub-01	22.068	22.206000000000003	you
ses-041_task-s05e06b	sub-01	22.228	22.8	crazy?
ses-041_task-s05e06b	sub-01	23.57	24.318	['What?
ses-041_task-s05e06b	sub-01	24.484	24.778000000000002	It's
ses-041_task-s05e06b	sub-01	24.794	25.046	not']
ses-041_task-s05e06b	sub-01	25.108	25.334	right
ses-041_task-s05e06b	sub-01	25.372	25.526	what
ses-041_task-s05e06b	sub-01	25.548	25.921999999999997	Emily
ses-041_task-s05e06b	sub-01	25.986	26.166	wants
ses-041_task-s05e06b	sub-01	26.188	26.326	you
ses-041_task-s05e06b	sub-01	26.348	26.486	to
ses-041_task-s05e06b	sub-01	26.508	26.79	do.
ses-041_task-s05e06b	sub-01	26.86	27.094	She
ses-041_task-s05e06b	sub-01	27.132	27.334000000000003	is
ses-041_task-s05e06b	sub-01	27.372	27.81	totally
ses-041_task-s05e06b	sub-01	27.89	28.706	ow.
ses-041_task-s05e06b	sub-01	28.898	29.302	Stop
ses-041_task-s05e06b	sub-01	29.356	29.826	pinching
ses-041_task-s05e06b	sub-01	29.858	30.44	me.
ses-041_task-s05e06b	sub-01	31.13	31.494	Now,
ses-041_task-s05e06b	sub-01	31.532	31.638	you
ses-041_task-s05e06b	sub-01	31.644	31.814	guys
ses-041_task-s05e06b	sub-01	31.852	32.006	said
ses-041_task-s05e06b	sub-01	32.028	32.166	I
ses-041_task-s05e06b	sub-01	32.188	32.326	only
ses-041_task-s05e06b	sub-01	32.348	32.486	had
ses-041_task-s05e06b	sub-01	32.508	32.646	to
