dataset	subject	onset	offset	word
ses-002_task-bourne08	sub-01	97.45	97.762	They
ses-002_task-bourne08	sub-01	97.786	97.978	missed
ses-002_task-bourne08	sub-01	97.994	98.218	him?
ses-002_task-bourne08	sub-01	98.274	98.53	Yeah,
ses-002_task-bourne08	sub-01	98.57	98.746	so
ses-002_task-bourne08	sub-01	98.778	99.21000000000001	far.
ses-002_task-bourne08	sub-01	99.33	99.538	But
ses-002_task-bourne08	sub-01	99.554	99.658	they
ses-002_task-bourne08	sub-01	99.674	99.82600000000001	found
ses-002_task-bourne08	sub-01	99.858	100.146	['Nikki.
ses-002_task-bourne08	sub-01	100.178	100.362	She's
ses-002_task-bourne08	sub-01	100.386	100.49799999999999	back
ses-002_task-bourne08	sub-01	100.514	100.594	at
ses-002_task-bourne08	sub-01	100.602	100.72200000000001	the
ses-002_task-bourne08	sub-01	100.746	101.05799999999999	Westin.']
ses-002_task-bourne08	sub-01	101.074	101.338	Bourne
ses-002_task-bourne08	sub-01	101.354	101.434	let
ses-002_task-bourne08	sub-01	101.442	101.562	her
ses-002_task-bourne08	sub-01	101.586	101.962	go.
ses-002_task-bourne08	sub-01	102.066	102.282	He
ses-002_task-bourne08	sub-01	102.306	102.41799999999999	let
ses-002_task-bourne08	sub-01	102.434	102.586	her
ses-002_task-bourne08	sub-01	102.618	102.88199999999999	go?
ses-002_task-bourne08	sub-01	102.946	103.59	Yeah.
ses-002_task-bourne08	sub-01	105.05	105.426	"[""""Where's"
ses-002_task-bourne08	sub-01	105.458	105.746	Danny']
ses-002_task-bourne08	sub-01	105.778	106.418	Zorn?
ses-002_task-bourne08	sub-01	106.594	106.83399999999999	He
ses-002_task-bourne08	sub-01	106.842	106.978	ought
ses-002_task-bourne08	sub-01	106.994	107.098	to
ses-002_task-bourne08	sub-01	107.114	107.266	head
ses-002_task-bourne08	sub-01	107.298	107.46600000000001	over
ses-002_task-bourne08	sub-01	107.498	107.64200000000001	there
ses-002_task-bourne08	sub-01	107.666	107.77799999999999	and
ses-002_task-bourne08	sub-01	107.794	108.18599999999999	debrief
ses-002_task-bourne08	sub-01	108.218	108.79	her.
ses-002_task-bourne08	sub-01	109.73	110.114	Why
ses-002_task-bourne08	sub-01	110.162	110.346	did
ses-002_task-bourne08	sub-01	110.378	110.746	Bourne
ses-002_task-bourne08	sub-01	110.778	110.994	come
ses-002_task-bourne08	sub-01	111.042	111.418	here?
ses-002_task-bourne08	sub-01	111.514	111.722	We
ses-002_task-bourne08	sub-01	111.746	111.88199999999999	"[""""don't"
ses-002_task-bourne08	sub-01	111.906	112.042	know
ses-002_task-bourne08	sub-01	112.066	112.63	yet.']
ses-002_task-bourne08	sub-01	113.09	113.61800000000001	"[""""Landy's"
ses-002_task-bourne08	sub-01	113.634	113.962	upstairs
ses-002_task-bourne08	sub-01	113.986	114.098	in
ses-002_task-bourne08	sub-01	114.114	114.194	one
ses-002_task-bourne08	sub-01	114.202	114.274	of
ses-002_task-bourne08	sub-01	114.282	114.426	the']
ses-002_task-bourne08	sub-01	114.458	114.874	['rooms.
ses-002_task-bourne08	sub-01	114.962	115.162	She
ses-002_task-bourne08	sub-01	115.186	115.322	said
ses-002_task-bourne08	sub-01	115.346	115.498	she'd
ses-002_task-bourne08	sub-01	115.514	115.666	call
ses-002_task-bourne08	sub-01	115.698	115.818	you
ses-002_task-bourne08	sub-01	115.834	115.914	when
ses-002_task-bourne08	sub-01	115.922	116.106	"she's""""]"
ses-002_task-bourne08	sub-01	116.138	116.71000000000001	done.
ses-002_task-bourne08	sub-01	119.53	120.47	Okay.
ses-002_task-bourne08	sub-01	122.81	123.122	I
ses-002_task-bourne08	sub-01	123.146	123.306	think
ses-002_task-bourne08	sub-01	123.338	123.91	"[""""I'll""""]"
ses-002_task-bourne08	sub-01	125.25	125.562	take
ses-002_task-bourne08	sub-01	125.586	125.722	a
ses-002_task-bourne08	sub-01	125.746	126.00999999999999	cab
ses-002_task-bourne08	sub-01	126.05	126.202	back
ses-002_task-bourne08	sub-01	126.226	126.338	to
ses-002_task-bourne08	sub-01	126.354	126.482	the
ses-002_task-bourne08	sub-01	126.506	127.23	hotel.
ses-002_task-bourne08	sub-01	133.23	133.518	So,
ses-002_task-bourne08	sub-01	133.534	133.66199999999998	the
ses-002_task-bourne08	sub-01	133.686	133.798	room
ses-002_task-bourne08	sub-01	133.814	133.918	he
ses-002_task-bourne08	sub-01	133.934	134.142	checked
ses-002_task-bourne08	sub-01	134.166	134.374	into
ses-002_task-bourne08	sub-01	134.422	134.582	was
ses-002_task-bourne08	sub-01	134.606	134.814	across
ses-002_task-bourne08	sub-01	134.862	134.998	the
ses-002_task-bourne08	sub-01	135.014	135.61	hall.
ses-002_task-bourne08	sub-01	137.39	137.702	Why
ses-002_task-bourne08	sub-01	137.726	137.838	would
ses-002_task-bourne08	sub-01	137.854	137.95800000000003	he
