dataset	subject	onset	offset	word
ses-003_task-wolf01	sub-01	3.16	3.2960000000000003	The
ses-003_task-wolf01	sub-01	3.296	3.512	world
ses-003_task-wolf01	sub-01	3.542	3.75	of
ses-003_task-wolf01	sub-01	3.79	4.65	investing
ses-003_task-wolf01	sub-01	5.23	5.590000000000001	can
ses-003_task-wolf01	sub-01	5.63	5.758	be
ses-003_task-wolf01	sub-01	5.774	5.926	a
ses-003_task-wolf01	sub-01	5.958	6.65	jungle.
ses-003_task-wolf01	sub-01	7.27	8.294	Bulls,
ses-003_task-wolf01	sub-01	8.462	9.29	bears.
ses-003_task-wolf01	sub-01	9.83	10.39	Danger
ses-003_task-wolf01	sub-01	10.43	10.606	at
ses-003_task-wolf01	sub-01	10.638	10.854	every
ses-003_task-wolf01	sub-01	10.902	11.565999999999999	turn.
ses-003_task-wolf01	sub-01	11.758	12.19	"[""""That's"
ses-003_task-wolf01	sub-01	12.23	12.574	why
ses-003_task-wolf01	sub-01	12.662	12.91	we
ses-003_task-wolf01	sub-01	12.95	13.126	at']
ses-003_task-wolf01	sub-01	13.158	13.59	Stratton
ses-003_task-wolf01	sub-01	13.63	14.31	Oakmont
ses-003_task-wolf01	sub-01	14.43	14.814	pride
ses-003_task-wolf01	sub-01	14.862	15.526	ourselves
ses-003_task-wolf01	sub-01	15.678	16.014	on
ses-003_task-wolf01	sub-01	16.062	16.294	being
ses-003_task-wolf01	sub-01	16.342	16.549999999999997	the
ses-003_task-wolf01	sub-01	16.59	17.169999999999998	best.
ses-003_task-wolf01	sub-01	17.51	17.958000000000002	Trained
ses-003_task-wolf01	sub-01	18.014	19.03	professionals
ses-003_task-wolf01	sub-01	19.19	19.462	to
ses-003_task-wolf01	sub-01	19.486	19.734	guide
ses-003_task-wolf01	sub-01	19.782	19.966	you
ses-003_task-wolf01	sub-01	19.998	20.166	through
ses-003_task-wolf01	sub-01	20.198	20.342	the
ses-003_task-wolf01	sub-01	20.366	20.766	financial
ses-003_task-wolf01	sub-01	20.878	21.77	wilderness,
ses-003_task-wolf01	sub-01	22.27	23.21	Stratton Oakmont.
ses-003_task-wolf01	sub-01	24.55	25.330000000000002	Stability.
ses-003_task-wolf01	sub-01	26.43	27.45	Integrity.
ses-003_task-wolf01	sub-01	28.75	29.61	Pride.
ses-003_task-wolf01	sub-01	32.25	54.11	123123.
ses-003_task-wolf01	sub-01	55.21	55.522	My
ses-003_task-wolf01	sub-01	55.546	55.658	name
ses-003_task-wolf01	sub-01	55.674	55.85	is
ses-003_task-wolf01	sub-01	55.89	56.226	Jordan
ses-003_task-wolf01	sub-01	56.258	57.190000000000005	Belfort.
ses-003_task-wolf01	sub-01	57.5	57.836	Not
ses-003_task-wolf01	sub-01	57.868	58.396	him.
ses-003_task-wolf01	sub-01	58.548	59.22	Me.
ses-003_task-wolf01	sub-01	59.38	59.716	"[""""That's"
ses-003_task-wolf01	sub-01	59.748	60.227999999999994	right.
ses-003_task-wolf01	sub-01	60.364	60.611999999999995	I'm
ses-003_task-wolf01	sub-01	60.636	60.772000000000006	a
ses-003_task-wolf01	sub-01	60.796	61.076	former']
ses-003_task-wolf01	sub-01	61.148	61.356	member
ses-003_task-wolf01	sub-01	61.388	61.507999999999996	of
