dataset	subject	onset	offset	word
ses-030_task-s04e13a	sub-01	0.33	0.8800000000000001	You.
ses-030_task-s04e13a	sub-01	4.37	4.878	Okay,
ses-030_task-s04e13a	sub-01	4.964	5.166	she
ses-030_task-s04e13a	sub-01	5.188	5.326	is
ses-030_task-s04e13a	sub-01	5.348	5.486	the
ses-030_task-s04e13a	sub-01	5.508	5.694	star
ses-030_task-s04e13a	sub-01	5.732	5.886	of
ses-030_task-s04e13a	sub-01	5.908	6.046	the
ses-030_task-s04e13a	sub-01	6.068	6.446	play,
ses-030_task-s04e13a	sub-01	6.548	6.814	and
ses-030_task-s04e13a	sub-01	6.852	7.006	she
ses-030_task-s04e13a	sub-01	7.028	7.262	is
ses-030_task-s04e13a	sub-01	7.316	7.63	my
ses-030_task-s04e13a	sub-01	7.7	8.378	girlfriend.
ses-030_task-s04e13a	sub-01	8.474	8.686	I
ses-030_task-s04e13a	sub-01	8.708	8.798	get
ses-030_task-s04e13a	sub-01	8.804	8.926	to
ses-030_task-s04e13a	sub-01	8.948	9.086	have
ses-030_task-s04e13a	sub-01	9.108	9.354000000000001	sex
ses-030_task-s04e13a	sub-01	9.402	9.517999999999999	with
ses-030_task-s04e13a	sub-01	9.524	9.645999999999999	the
ses-030_task-s04e13a	sub-01	9.668	9.854	star
ses-030_task-s04e13a	sub-01	9.892	9.998	of
ses-030_task-s04e13a	sub-01	10.004	10.126	the
ses-030_task-s04e13a	sub-01	10.148	10.719999999999999	play.
ses-030_task-s04e13a	sub-01	11.57	12.030000000000001	People
ses-030_task-s04e13a	sub-01	12.1	12.334	can
ses-030_task-s04e13a	sub-01	12.372	12.622	hear
ses-030_task-s04e13a	sub-01	12.676	13.182	you.
ses-030_task-s04e13a	sub-01	13.316	13.662	I
ses-030_task-s04e13a	sub-01	13.716	14.319999999999999	know
ses-030_task-s04e13a	sub-01	19.73	20.48	"[""""it's.""""]"
ses-030_task-s04e13a	sub-01	22.61	22.974	['Wow
ses-030_task-s04e13a	sub-01	23.012	23.166	
ses-030_task-s04e13a	sub-01	23.188	23.374	she
ses-030_task-s04e13a	sub-01	23.412	23.566	looks
ses-030_task-s04e13a	sub-01	23.588	23.818	great
ses-030_task-s04e13a	sub-01	23.834	24.4	she?
ses-030_task-s04e13a	sub-01	25.37	26.214000000000002	It
ses-030_task-s04e13a	sub-01	26.412	27.16	hi.
ses-030_task-s04e13a	sub-01	28.17	28.486	That
ses-030_task-s04e13a	sub-01	28.508	28.694	is
ses-030_task-s04e13a	sub-01	28.732	28.934	one
ses-030_task-s04e13a	sub-01	28.972	29.174000000000003	good
ses-030_task-s04e13a	sub-01	29.212	29.462	looking
ses-030_task-s04e13a	sub-01	29.516	30.119999999999997	man.
ses-030_task-s04e13a	sub-01	32.41	32.726	Is
ses-030_task-s04e13a	sub-01	32.748	32.838	it
ses-030_task-s04e13a	sub-01	32.844	32.966	just
ses-030_task-s04e13a	sub-01	32.988	33.174	me,
ses-030_task-s04e13a	sub-01	33.212	33.414	or
ses-030_task-s04e13a	sub-01	33.452	33.606	can
ses-030_task-s04e13a	sub-01	33.628	34.102	you
ses-030_task-s04e13a	sub-01	34.236	34.629999999999995	actually
ses-030_task-s04e13a	sub-01	34.7	34.934000000000005	see
ses-030_task-s04e13a	sub-01	34.972	35.174	his
ses-030_task-s04e13a	sub-01	35.212	35.558	ABS
ses-030_task-s04e13a	sub-01	35.644	35.846	through
ses-030_task-s04e13a	sub-01	35.868	36.006	his
ses-030_task-s04e13a	sub-01	36.028	37.03	overcoat?
ses-030_task-s04e13a	sub-01	38.51	39.26	['So
ses-030_task-s04e13a	sub-01	39.63	40.118	"you've""""]"
ses-030_task-s04e13a	sub-01	40.134	40.362	been
ses-030_task-s04e13a	sub-01	40.416	40.634	doing
ses-030_task-s04e13a	sub-01	40.672	40.873999999999995	this
ses-030_task-s04e13a	sub-01	40.912	41.354	long?
ses-030_task-s04e13a	sub-01	41.472	42.042	['No
ses-030_task-s04e13a	sub-01	42.176	42.566	
ses-030_task-s04e13a	sub-01	42.598	42.794	you're
